スポット名（英）,スポット名（日本語）,カテゴリ,エリア,URL,英語説明,日本語説明,tag_family_friendly,コメント・補足,所要時間,予約必要の有無,"英語対応
1（全く対応していない）-3（フル対応）",料金帯
DiverCity Gundam Plaza,ダイバーシティ ガンダムプラザ,アニメ・展示,お台場,https://www.unicorn-gundam-statue.jp/,Life-sized Gundam statue with light shows and shop.,実物大ガンダム像が人気。光の演出や関連ショップあり。,✅,夜のライトアップも必見。,,,,
Odaiba Seaside Park,お台場海浜公園,公園・自然,お台場,https://www.tptc.co.jp/park/01_02,Urban beach park with views of Rainbow Bridge.,砂浜や海辺で遊べる都会のリゾート公園。,✅,晴れの日のピクニックや砂遊びに最適。,,,,
Asakusa Water Bus,浅草 水上バス,体験・乗り物,浅草〜お台場,https://www.suijobus.co.jp/,Sightseeing water bus connecting Asakusa and Odaiba.,浅草からお台場へ。水上から東京観光が楽しめるクルーズ体験。,✅,デザイン船「ヒミコ」も子どもに人気。,,,,
Hanayashiki,浅草花やしき,遊園地,浅草,https://www.hanayashiki.net/,Japan’s oldest amusement park with nostalgic rides and games.,レトロな雰囲気の日本最古の遊園地。幼児向け乗り物多数。,✅,コンパクトで半日でも満喫できる。,,,,
Pokémon Café,ポケモンカフェ,キャラクターカフェ,日本橋,https://www.pokemoncenter-online.com/cafe/,Reservations-only café with cute Pokémon-themed dishes.,ピカチュウのカレーやラテアートなど、写真映えメニュー多数。,✅,完全予約制。隣接するポケモンセンターもセットで楽しめる。,,,,
Moomin House Café,ムーミンハウスカフェ,キャラクターカフェ,水道橋,https://benelic.com/moomin_cafe/,Café where Moomin plushies join you at the table.,ムーミンと一緒に食事が楽しめる癒し系カフェ。,✅,東京ドームシティ内。空いてる午前がおすすめ。,,,,
Miffy Café,ミッフィーカフェ,キャラクターカフェ,銀座,https://miffycafe.tokyo/,Cute Miffy-themed café with seasonal menus and photo ops.,ミッフィーの世界観を楽しめる期間限定カフェ。,✅,開催時期に注意。事前予約推奨。,,,,
Sanrio Café,サンリオカフェ,キャラクターカフェ,池袋,https://www.sanrio.co.jp/news/mx-sanriocafe-ikebukuro-20201022/,A café offering Sanrio-themed food and drinks for fans of Hello Kitty and friends.,ハローキティやポムポムプリンなどのキャラメニューが楽しめる。,✅,テイクアウトも充実。,,,,
Sumikko Gurashi Café,すみっコぐらしカフェ,キャラクターカフェ,渋谷,https://sumikkogurashi-cafe.jp/,A themed café based on the popular Japanese character Sumikko Gurashi.,すみっコぐらしの世界を再現したメニューやグッズが魅力。,✅,期間限定での開催が多い。要チェック。,,,,
PEANUTS Café,スヌーピーカフェ（PEANUTS Café）,キャラクターカフェ,中目黒,https://www.peanutscafe.jp/,Snoopy-themed café with stylish interior and relaxed vibe.,スヌーピーの世界観を大人も楽しめるおしゃれカフェ。,✅,ベビーカーもOK。フォトスポット多数。,,,,
Bornelund Kid-O-Kid Toyosu,ボーネルンドあそびのせかい ららぽーと豊洲店,室内プレイランド,豊洲,https://www.bornelund.co.jp/asobi/toyosu/,Safe indoor playground for toddlers with high-quality equipment.,年齢別にゾーンが分かれており、赤ちゃん〜小学生まで安心して遊べる。,✅,授乳室・おむつ替えスペース完備。ショッピングモール内。,,,,
Eddy’s Ice Cream,エディーズアイスクリーム,フォトスポット系カフェ,原宿,https://www.instagram.com/eddysicecream/,Colorful and photogenic ice cream popular on social media.,カラフルで可愛いアイスがSNS映え抜群。,✅,子連れで気軽に立ち寄れるスイーツスポット。,,,,
Aoyama Flower Market Tea House,青山フラワーマーケット ティーハウス,カフェ・自然体験,表参道,https://www.afm-teahouse.com/,Floral-themed café surrounded by seasonal greenery and flowers.,花と緑に囲まれた癒しのカフェ。大人も子どももリラックスできる空間。,✅,ベビーカー入店可能。昼前が空いていておすすめ。,,,,
Café Ron Ron,カフェロンロン,回転スイーツカフェ,原宿,https://tabelog.com/tokyo/A1306/A130601/13222871/,All-you-can-eat revolving sweets café in Harajuku.,回転寿司スタイルでスイーツが回る夢のカフェ。時間制食べ放題。,✅,小学生〜女子人気。午後は混雑気味。,,,,
Shirohige’s Cream Puff Factory,白髭のシュークリーム工房,ジブリ系カフェ・スイーツ,世田谷,https://www.shiro-hige.com/,Studio Ghibli-themed cream puffs shaped like Totoro.,トトロの形をしたシュークリームが名物の人気店。,✅,予約・テイクアウト推奨。早めの時間が◎。,,,,
MoCHA Cat Café Shibuya,猫カフェMoCHA 渋谷店,猫カフェ,渋谷,https://catmocha.jp/shibuya/,Stylish cat café in Shibuya with large windows and a relaxing atmosphere.,おしゃれな内装で人気の猫カフェ。大きな窓と心地よい空間が魅力。,✅,小学生以上入店可。混雑時は時間制限あり。,,,,
Temari no Oshiro,てまりのおしろ,猫カフェ,吉祥寺,https://www.temarinooshirona.com/,Fantasy-themed cat café designed like a fairytale castle.,おとぎ話のような空間で猫と触れ合える幻想的カフェ。,✅,子ども向け内装が人気。6歳以上推奨。,,,,
Cat Café Calico,きゃりこ 新宿店,猫カフェ,新宿,https://catcafe.jp/shop_shinjuku.html,Spacious cat café in Shinjuku with a wide variety of cat breeds.,新宿の大型猫カフェ。多くの種類の猫と触れ合える。,✅,小学生以下は保護者同伴必須。,,,,
BIG ECHO Family Room Kichijoji,ビッグエコー 吉祥寺サンロード店 ファミリールーム,キッズ対応カラオケ,吉祥寺,https://big-echo.jp/,Private karaoke room with a slide and ball pool for children.,滑り台・ボールプール付きのファミリールームがあるカラオケ。,✅,事前予約推奨。休日は混みやすい。,,,,
Karaoke BanBan Family Room Oji,カラオケBanBan 王子店 ファミリールーム,キッズ対応カラオケ,王子,https://www.karaokebanban.com/,Affordable karaoke chain with a dedicated kids playroom including slides.,キッズスペース付きのファミリールームあり。滑り台付きで子連れに人気。,✅,英語メニューはなし。日本語OKな同行者推奨。,,,,
PASELA Resorts Shinjuku Yasukuni,パセラリゾーツ新宿靖国通り店,キッズ対応＋アニメソング対応,新宿,https://www.pasela.co.jp/shop/yasukuni/,Family karaoke with wide anime song selection and kids menu.,子連れ歓迎・アニメ曲充実。キッズプレートやぬいぐるみ貸出あり。,✅,プリキュア、ポケモン、ジブリ、ディズニーなど多数。,,,,
Karaoke no Tetsujin Akihabara,カラオケの鉄人 秋葉原店,アニメソング・英語曲強化店,秋葉原,https://www.karatetsu.com/store/akihabara/,Extensive catalog of anime songs and popular English hits. Otaku friendly.,アニメ・ボカロ・ゲーム曲が豊富。英語の洋楽ヒットも揃う。,✅,英語UIあり。ポケモン・ジャンプ系の曲も豊富。,,,,
Morinaga Hi-Chew Factory,森永製菓 鶴見工場（ハイチュウ）,ハイチュウの製造ライン＆試食,神奈川県横浜市,❌（英語なし）,子連れOK。事前予約制。かなり人気で倍率高め,,,,,,,
Glico Pia East,グリコピア・イースト,ポッキー・プリッツの製造見学、クイズや撮影可,埼玉県北本市,◯ 一部パネルは英語あり,家族で楽しめる。無料、予約制,,,,,,,
Cup Noodle Museum Yokohama,カップヌードルミュージアム 横浜,世界中から人気。自作ヌードル体験あり,横浜みなとみらい,◯ 英語案内あり,ファミリー＋観光客にも超定番,,,,,,,
Tokyo Food Sample Making Workshop (Yamato),大和サンプル製作所 ワークショップ,フードサンプル体験,豊島区（上池袋・北池袋）,https://www.yamato-sample.com/,—,"Hands-on food sample workshop at Yamato Sample Factory: make ramen, parfait, or tart samples. Includes instructor, materials, kits to take home. (yamato-sample.com, theabroadguide.com)",大和サンプル製作所での食品サンプル体験。ラーメンやタルト、パフェなどを制作し、キットやキーホルダーをお土産に持ち帰れます。英語予約可。,大和サンプル公式、Veltra、ByFood,TRUE,工房案内・体験メニューあり。英語予約可（Veltra経由）。家族向け。キット＆キーホルダー付き。,A,本格工房体験。予約必須・混雑予想あり。
Food Sample Making Cafe (Asakusa),食品サンプル製作体験カフェ（浅草）,フードサンプル体験,台東区（浅草）,https://foodsamplecafe.com/en/,—,"Make and eat! Create your own omelette rice, spaghetti, crepe, or parfait sample—and enjoy the real version too. English menu & café setting.",浅草のカフェで食品サンプル製作体験＆本物の食事が楽しめます。英語メニューあり。家族やグループに好評です。,食品サンプル製作体験カフェ公式（英語訳あり）,TRUE,英語サイト、Instagram紹介多数。カフェ併設＆グループOK。観光に便利な場所。,A,食べ比べもできるユニークな体験。雨天OK。
Klook: 1‑Hour Tokyo Class Food Sample Making Workshop,東京食品サンプル作り体験（Klook）,フードサンプル体験,豊島区（北池袋）,https://www.klook.com/activity/103658-1-hour-join-tokyo-class-food-sample-making-workshop/,—,"1‑hour workshop at Yamato with ramen, parfait, tart charm options. Family-friendly, English supported, includes tools.",Klook経由で1時間の食品サンプル体験。ラーメンやタルトチャームなど制作可。道具・キット付き、英語案内あり。家族参加OK。,Klook詳細ページ,TRUE,所要1時間、家族向け、英語対応、選べるメニューあり。価格明示。,A,手軽＆初心者向け。道具すべて込み。混雑に備え予約推奨。
Hanayashiki Panda Car,浅草花やしき・パンダカー観覧車,観覧車（小型）,浅草,https://www.hanayashiki.net/,Small nostalgic Ferris wheel in Japan’s oldest amusement park.,日本最古の遊園地「花やしき」にあるレトロな小型観覧車。,✅,高さは控えめだが、下町ビューと雰囲気が魅力,,,,
Kasai Rinkai Park Ferris Wheel,葛西臨海公園ダイヤと花の大観覧車,観覧車（大型）,江戸川区,https://www.tokyo-park.or.jp/park/format/facilities026.html,One of Japan’s largest Ferris wheels with views of Tokyo Bay and Disney.,ディズニーリゾート・スカイツリー・富士山も見える大型観覧車。,✅,1周17分、夜景＆イルミネーションも◎,,,,
Yokohama Cosmo Clock 21,コスモクロック21（横浜）,観覧車（大型）,横浜,https://www.yokohama-landmark.jp/web/cosmo/,Landmark Ferris wheel with LED clock and bay views in Minato Mirai.,みなとみらいのシンボル。観覧車に時計がついており、夜景も絶景。,✅,東京から日帰りで行ける。カップルにも人気。,,,,
