スポット名（英）,スポット名（日本語）,カテゴリ,エリア,URL,英語説明,日本語説明,tag_family_friendly,コメント・補足,所要時間,予約必要の有無,"英語対応
1（全く対応していない）-3（フル対応）",料金帯
Ozu Washi,小津和紙,和紙・書道用品専門店,日本橋,https://www.ozuwashi.net/,Historic washi shop with traditional paper and calligraphy goods.,江戸時代創業の老舗和紙店。ワークショップもあり。,△,和の美しさを感じる空間、観光ついでに立ち寄りやすい,,,,
Traveler’s Factory,トラベラーズファクトリー,旅ノート・スタンプ・革小物系,中目黒,https://www.travelers-company.com/,Iconic notebooks and travel-themed stationery with a vintage feel.,海外にもファンの多い旅系文具。限定品もあり。,✅,飛行機チケット風ノートやスタンプが人気,,,,
WEGO Harajuku Flagship,WEGO 原宿本店,Y2Kファッション・Z世代向け,原宿,https://www.wego.jp/,"Trendy fashion brand known for colorful, nostalgic, and affordable items for Gen Z.",Y2K系・韓国風・個性派アイテム満載の原宿系ブランド。Z世代に人気。,✅,学生〜若年層向け。プチプラでバラマキ土産にも◎,,,,
SHIBUYA 109,渋谷109,若者向けファッションモール,渋谷,https://www.shibuya109.jp/,Iconic fashion building packed with trendsetting brands and pop-up events.,ガールズカルチャーの聖地。多くの若者向けブランドが出店。,✅,イベントやコラボカフェも頻繁に開催,,,,
atmos Tokyo,アトモス 東京,スニーカー・ストリート系,原宿,https://www.atmos-tokyo.com/,Popular sneaker boutique offering limited-edition collaborations.,日本発ストリート系スニーカーショップ。海外限定コラボも多く扱う。,△,行列・抽選販売あり。コレクター向け,,,,
BAPE STORE Harajuku,ベイプストア 原宿,ハイストリート系ファッション,原宿,https://bape.com/,Japan’s iconic streetwear brand known for camouflage and bold graphics.,カモ柄・エイプモチーフが特徴の日本発ストリートブランド。,△,人気ブランドのため一部商品は即完売,,,,
STUDIOUS Tokyo,ステュディオス東京,日本ブランド・モード系セレクト,表参道,https://studious.co.jp/,Curated Japanese fashion brands with minimalist and urban styles.,日本発のモード系ブランドを扱うセレクトショップ。,✅,海外バイヤーや感度の高い観光客に人気,,,,
2G TOKYO,2Gトーキョー,アート×ファッション×ストリート,渋谷（渋谷パルコ内）,https://2gtokyo.com/,"Concept space blending fashion, art, and sneakers.",現代アート・スニーカー・アパレルが融合する体験型ショップ。,△,アート好きの10〜30代に人気,,,,
SOU・SOU Kyoto TOKYO,ソウソウ 京都東京店,和モダン×ストリート×カラフル,新宿,https://www.sousou.co.jp/,"Bold, colorful Japanese patterns reimagined as modern streetwear and footwear.",日本の伝統模様・足袋を現代風に展開。海外からの人気も高い。,✅,ファッション＋文化体験の両面でおすすめ,,,,
BAPE STORE Harajuku,ベイプストア 原宿,ストリートファッション,原宿,https://bape.com,"The flagship store of Japan’s iconic streetwear brand, BAPE.",日本発ストリートブランドBAPEの本店。限定商品・キッズ用もあり。,✅,海外観光客に圧倒的人気。混雑＆在庫注意,,,,
HOODS Shibuya,フッズ 渋谷,NEIGHBORHOOD/WTAPS専門店,渋谷,https://www.neighborhood.jp,"Official store for NEIGHBORHOOD and WTAPS, core Japanese streetwear brands.",ハード系ストリートファンに人気の2ブランドを扱う公式ショップ。,△,商品単価は高め。男性中心のファンが多い,,,,
DOVER STREET MARKET Ginza,ドーバーストリートマーケット銀座,ハイストリート＆コンセプトストア,銀座,https://ginza.doverstreetmarket.com,Conceptual multi-brand fashion store including COMME des GARÇONS and BAPE collaborations.,コムデギャルソン系を中心としたコンセプトファッション複合店。,△,アート好きにも◎。美術館のような空間体験,,,,
UNDERCOVER Aoyama,アンダーカバー 青山店,アバンギャルドモードファッション,青山,https://store.undercoverism.com,"Avant-garde brand mixing punk, art, and fashion.",モード×アートな世界観で海外のバイヤーにも人気。,△,ファッション感度の高い大人向け。,,,,
SACAI Aoyama,サカイ 青山本店,ハイブリッドモードブランド,青山,https://www.sacai.jp,A globally recognized Japanese brand combining sport and luxury in hybrid designs.,ナイキとのコラボで爆発的ヒットした東京発ブランド。,△,商品価格は高め。展示空間も洗練されている,,,,
VISVIM F.I.L. Tokyo,ヴィズヴィム FIL 東京,ジャパンクラフト×ストリート,中目黒,https://www.visvim.tv,Ultra-premium brand blending native motifs and vintage Americana with Japanese craft.,民族柄やビンテージ感の強いクラフト系ストリート。価格帯はかなり高い。,△,玄人・コレクター層に圧倒的支持,,,,
COMME des GARÇONS Aoyama,コム デ ギャルソン 青山本店,アートモード／ジェンダーレスファッション,青山,https://www.comme-des-garcons.com,"Avant-garde, genderless fashion icon designed by Rei Kawakubo.",世界的デザイナー川久保玲による前衛的ブランド。,△,カルト的ファンが多く、美術館のような世界観,,,,
JINS Shibuya,JINS 渋谷店,メガネチェーン店,渋谷,https://www.jins.com,"Fast, stylish, and affordable glasses with on-site eye exams.",おしゃれで安価な即日メガネ。視力検査も無料。,✅,30〜60分仕上げ／英語接客あり,,,,
Zoff Harajuku,Zoff 原宿店,メガネチェーン店,原宿,https://www.zoff.co.jp,Trendy frames and pop-culture collabs. No prescription required.,トレンド系フレーム多数。ポケモン等の限定コラボも人気。,✅,原宿散策ついでに立ち寄れる／免税対応,,,,
OWNDAYS Shinjuku,OWNDAYS 新宿店,メガネチェーン（訪日対応◎）,新宿,https://www.owndays.com,Great for tourists: English-speaking staff and tax-free purchases.,海外展開多数。英語対応◎、20分仕上げも可能。,✅,海外発送も可能。観光客に一番人気,,,,
Megane Ichiba Ginza,眼鏡市場 銀座本店,メガネ専門店,銀座,https://www.meganeichiba.jp,High-quality service with a more classic lineup.,落ち着いたデザイン・品質志向の人向け。地方展開もあり。,△,英語対応は限られるが、信頼性高,,,,
JINS TOKYO MIDTOWN,JINS 東京ミッドタウン店,ハイセンスメガネ＋体験型,六本木・赤坂,https://www.jins.com/jp/shop/tokyo-midtown/,Stylish location with eye wellness experience zones.,デザイン性・体験性が高い店舗。リラックス空間もあり。,✅,周辺はおしゃれなカフェや公園も多く観光向き,,,,
