スポット名（英）,スポット名（日本語）,カテゴリ,エリア,URL,英語説明,日本語説明,tag_family_friendly,コメント・補足,所要時間,予約必要の有無,"英語対応
1（全く対応していない）-3（フル対応）",料金帯
Enoshima,江の島,神奈川,新宿から電車＋徒歩（約1時間）,神社、洞窟、展望台、グルメ、海遊びなどがそろう小島,✅,https://www.fujisawa-kanko.jp/,鎌倉観光とセットで外国人にも人気,,,,,
Izu Oshima,伊豆大島,東京,高速船で1時間45分 / フェリーで6時間,火山地形（三原山）、海、温泉、星空、アクティビティ豊富,✅,https://www.izu-oshima.or.jp/,伊豆諸島で一番大きく観光設備が整っている,,,,,
Niijima,新島,東京,高速船で約2時間30分,白い砂浜、サーフィン、無料露天温泉、モヤイ像,△（若者向け多め）,https://niijima-info.jp/,夏は混雑するが自然が美しい,,,,,
Shikinejima,式根島,東京,新島からフェリー15分 / 高速船約3時間,美しい入り江、自然の岩風呂、静かでリラックスできる島,✅,https://shikinejima.tokyo/,子連れやカップルに人気、静かに過ごしたい人向け,,,,,
Sarushima,猿島,神奈川,横須賀から船で10分,無人島、旧日本軍の要塞、BBQ、釣り、日帰り可能,✅,https://sarushima.jp/,非日常を気軽に味わえる日帰りスポット,,,,,
Chichijima,父島（小笠原）,東京,竹芝からフェリーで24時間,世界遺産の島。クジラ・イルカ・固有種・トレッキング・透明度の高い海,△（長期向け）,https://www.ogasawaramura.com/,最低6泊7日必要。エコツーリズムや自然好きに最適,,,,,
Hahajima,母島（小笠原）,東京,父島からさらにフェリーで約2時間,より手つかずの自然、固有種、星空、ハイキング、静けさ,△（上級者向け）,同上,本格的に自然を満喫したい人向け（ガイド同行推奨）,,,,,
Chichijima Island,父島,父島,島・エリア全体,https://www.ogasawaramura.com/,"Main island with accommodation, dolphin tours, diving, and beaches.",宿泊・ツアーの拠点。ドルフィンスイムやトレッキングが人気。,△,小さな子連れにはややハード。長期滞在向き,,,,
Minamijima,南島,父島からの無人島,世界自然遺産・海・景観,同上,"Pristine uninhabited island with heart-shaped cove, limited entry.",ハート形の入り江が有名な無人島。上陸ツアーでのみ入島可能。,❌,自然保護のため人数制限あり。上陸はツアー参加が必須,,,,
Dolphin Swim Tour,ドルフィンスイム,父島周辺,海の体験・ツアー,ツアー会社サイト例：こちらなど,Swim with wild dolphins in crystal-clear waters.,野生のイルカと一緒に泳げる貴重な体験。子どももライフジャケットで参加可。,△,体力に応じて調整必要。感動体験！,,,,
Mt. Chibusayama Hiking,千尋岩（ハートロック）,父島,トレッキング・展望,同上,Popular half-day hike with ocean views and heart-shaped rock cliff.,海を見下ろすハート形の断崖絶景。ガイド付きトレッキングが主流。,△,夏は暑く体力が必要。ガイド付きが安心,,,,
Kominato Beach,小港海岸,父島,ビーチ・シュノーケル,同上,Quiet beach ideal for snorkeling and sunset watching.,穏やかな湾でウミガメにも会えるビーチ。夕日も美しい。,✅,アクセスに車が必要だが子連れOK,,,,
Ogasawara Marine Center,小笠原海洋センター,父島,教育・保全施設,https://bonin-ocean.net/,Sea turtle conservation center with educational exhibits.,ウミガメ保護施設。展示や体験もあり。子どもにも学びになる場所。,✅,子どもにも人気。寄付もできる,,,,
Hahajima Island,母島,母島,島全体・自然探索,https://www.ogasawaramura.com/,"Smaller island with untouched nature, hiking, and birdwatching.",手つかずの自然と固有種の宝庫。より静かで上級者向き。,△,父島よりもさらに素朴。自然派におすすめ,,,,
Mt. Sakaigatake,境浦の山,母島,トレッキング・眺望,同上,Scenic hiking trail with panoramic island and ocean views.,母島の絶景トレイル。海と島を見渡す展望スポット。,△,登山道は整備されているがガイドが安心,,,,
